,id,name,platform,cate,publish_date,contract
32,1465,A21,eth,casino,2020-06-09,"['0x99a650192E81772657C7dc047d2E18f67C758E94', '0x5afD5DbC83194A007363f63C37C695051907C4D1']"
33,10295,Russian Roulette,eth,casino,2020-06-09,['0x0Ab2c9e20Aa31fd3a3728a86F2526CCA06A2B76D']
34,479,LuckyBlock,eth,casino,2020-06-09,['0x0e7e6938c3c6bf043e6ec5043bc858df7b744db7']
35,11135,EthexBet,eth,casino,2020-06-09,"['0x7bEbA6D5F523856c8F51C7080543CF69041036fe', '0xb9846a7d15d188263f99f2da6d1fdab2febdb0a2', '0xe04E049bAef6977f8B9d9Eb6215641a19dB5B310', '0xe06d27b95616cd9922a4af2ee95f6802b7e08a9a', '0x95815fa47ce1a6276e0898c9f74638dcd19136ae', '0x3b81fc04de79df41951f31a2aeb4b601c1ade53c', '0xDf61756A3F3F97E0Bc6b8DF9CAEBf8C44F548541', '0x43386190b78ed35551A104BD374522725B20fE57', '0x4bEa2e03A4daf769dCda13322FEaC94eA3Eb0FC4', '0xA6D93468C1F16f2e1009eC321251F0B3147117b3', '0xba5373Bb3BB87699434588C8a2E320AF3b8994C2', '0x15353f4826C570c68977947C349F7a658905b294', '0x331769de477c2122638fe1116808d3a9159ab13a']"
36,10338,HotLot,eth,casino,2020-06-09,['0x46a19d32be761efcab0bef87c92ab3911f3fab86']
37,861,Wesley Boumans,eth,casino,2020-06-09,"['0x78B88F8198FDc9a67CC064C2654CD44962FC6E34', '0xCF7480184A6ca7b10eb73467f05ae21b8500f9Eb']"
38,11247,P3XRoll,eth,casino,2020-06-09,['0x59891b95010267F7A3666dcB3221059a73E11AD1']
39,10019,luck100,eth,casino,2020-06-09,['0xE045b6ee1b2BDb357ea1bd9435De0B07EdA4053A']
40,287,Luckyone casino,eth,casino,2020-06-09,['0x1a460bde3f373f64c101c72857ba77994241843e']
41,921,ethroll,eth,casino,2020-06-09,['0x3D60F58F8BF0c4d45646116257f2717281a3d471']
42,11100,Alpha Play,eth,casino,2020-06-09,['0x338D2d618f48Bf6F6917AFCD1fCfd3418bb0CAcc']
43,12638,Herocoin,eth,casino,2020-06-09,['0xb6cfBB728777315B5c7A00703Aa6888B8CC7AB04']
44,10911,Etheroulette,eth,casino,2020-06-09,['0x0F97c5939D1dd5f8d3520532CaEc7D82b269f293']
