,id,name,platform,cate,publish_date,contract
10,12092,DozerBird,eth,game,2020-05-11,"['0x6a76c822eb2a7d21D81Bb8b4943512db2b17C266', '0xd518ea731f523b6a53F6eB3dB2bAe217B95D958b', '0x71A039055E136b1B8A0DBDd5f50e478bE75a9a1E', '0xba9a58101E64DC43F9B71bcc330a5579bDD488F3', '0xE8bd26A3944f40813c1c31a3fc0703cC54b2698D']"
11,10909,Marble.Cards,eth,game,2020-05-11,"['0x649EfF2dC5d9c5C641260C8B9BedE4770FCCF5E7', '0x30E0130141B3f113480a5941ca180Ad8C5F98612']"
12,714,0xUniverse,eth,game,2020-05-11,"['0xc66b5f9cbc7e822265bfd9774ce68c31ae70f33b', '0x8c35faf9ba5b5b7526d30660cffa5fb4134fb641', '0xf0155486a14539f784739be1c02e93f28eb8e960', '0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8', '0x5937512b02555967a01d78b0994f53168a985ac4', '0xa36a81e47d032cb5608175cf884d079ff7b2fb42', '0xb0546e30dbe9d035da1ef5ab9186cf53aa6317c6', '0xde56eaf3d5a683a386ad9249eb9ea2bc622aae8d', '0x28fbe46D43ae10F0aFe84e393368b891A3dE98ea', '0x2B90FA38BC600b1cE811B47022C9fDb962fDDFd7', '0xe73480759efb6731d133b382ab8df02774e3a265', '0x137ce274199a106b1aa3036241d6757c06968c21', '0x2e9a1cfee65b283f5fcfcd84b494c0fc0e0cc486', '0x3401cab9bee49bcb76e13a8a09619e53d45c0af0', '0xf91d60c576fc809bea7a08d45ee3d6d77fbf5ff7', '0x8c461c8e8e5fd9adb34601e75ad6cb5b53db4544', '0x3e55cbaeaa14765536073c3967f0f990eb4d07f7', '0xbF5bc70eEf65B961a5f449529352626424723F77', '0xE907B807dF4B56cF4BfB16F288d4F2044DBD2d87', '0xe658e6eb4b478da2cf36d9e3712ba0c1b33786a1', '0xf5ae0e27cf423b1ed6513c3ca35cc14c22ee66fd', '0x285d1Ce341ed3c06F929190e691F0554989Ab094', '0x865a0a385b805cC4146c0F4061586a3da25e5C1f', '0x00377F288085B8f113aBcB619D1405Cae4d668ab']"
13,839,Gods Unchained TCG,eth,game,2020-05-11,"['0x6e0051c750b81f583f42f93a48d56497779992d8', '0xe7e02be77d46ca4def893d1d05198f4be5c1ecd8', '0xee85966b4974d3c6f71a2779cc3b6f53afbc2b68', '0x84487E50dB6317E5e834d89d0e81Fd873462Ea47', '0xb04239b53806ab31141e6cd47c63fb3480cac908', '0xe5dc9d1b58fd5a95fc20a6c6afaa76d44d70a7df', '0x5789e2b5460cae9329d93a78511e2ac49f98a1f6', '0x0777f76d195795268388789343068e4fcd286919', '0x6Cb4AD504816bD3021aE48286f018AC725239B89', '0x80391307f1b08cc068fa1d1b77513b98c36dfbfa', '0x000983ba1a675327f0940b56c2d49cd9c042dfbf', '0x6c5dc1dcda3d309a6e919e6d0965f197e0fc1913', '0x80b3075410Ee52C520DD203f60206F633D27A109', '0x91db0ff6239496e69aa97beb448578b063204884', '0x314495517F380CEb7c498A35739E40864240ADCf', '0x015531a044bae03bf4dab1ceabfc232a969b7175', '0x482cf6a9d6b23452c81d4d0f0f139c1414963f89', '0x0e3a2a1f2146d86a604adc220b4967a898d7fe07', '0x08dBf4f942ba8cd7871C13addEfdfFEf3E5a8035', '0x6EbeAf8e8E946F0716E6533A6f2cefc83f60e8Ab', '0x969c07e9923492be879b9222ea364a5826d29c30', '0x20d4cec36528e1c4563c1bfbe3de06aba70b22b4', '0x9b45b116b68c388e49610c9be585dbee201467a7', '0x22365168c8705e95b2d08876c23a8c13e3ad72e2', '0xc47d7d42e44b2e04c83a45cf45898e597a0c2311', '0x1e891c587b345ab02a31b57c1f926fb08913d10d', '0xca6746f65d53d2df5022b5d775817e62e8462690', '0x0c8cdc16973e88fab31dd0fcb844ddf0e1056de2', '0x91b9d2835ad914bc1dcfe09bd1816febd04fd689']"
14,419,CSC - Crypto Space Commander,eth,game,2020-05-11,"['0x77bbe12CA1F7b98BB07293Cf1AE399Be51a636D6', '0x59de2a5c00c7ee1c9cc823146cd18580fc5ff7b5', '0x0f042ad89fb5f78c707e7d397afdb172f9056d19', '0x65d08c27d696eb55170cb3346b423ad85e58de68', '0x4d3814d4da8083b41861dec2f45b4840e8b72d68', '0xe4f5e0d5c033f517a943602df942e794a06bc123', '0x4f2d119b1063f75bd2088b80ce288a588758bdef', '0xb1f195776a62b4074a940fa135e58249e49315a3', '0xcc9a66acf8574141b0e025202dd57649765a4be7']"
15,11940,CryptoSpells,eth,game,2020-05-11,['0x67cbbb366a51fff9ad869d027e496ba49f5f6d55']
16,13,CryptoPunks,eth,game,2020-05-11,['0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB']
17,23,Ethermon,eth,game,2020-05-11,"['0x7582562aeeb50d6e48fa5415d47d5ccd9bd221c4', '0xFFA4bee0b9cD2c2E4eaCb8D8F11096Baa3e6c55d', '0x95daaab98046846bf4b2853e23cba236fa394a31', '0x022c635044ba01ced1e098bc32e62a954147f2de', '0x41f3d85e9b8497fca552523047bf4dac7beea64a', '0xb902e19f24950c43ae69cfee20876283fa842b03', '0xa7c4681c701ac82c8524cfc66e0101ea16e1e00f', '0xfec769e54c266de2bc3fa5df7d9f0fe2a1e39461', '0x0c28bf52d0d4d9447e86d7e7f0e317f273d3c9a3', '0xf3a8f103574bc64358e372ed68e95db0b2bb0936', '0x6482ccfc48cd7ff95bb4def3355617fe0d507052', '0xdf6164efd12678bf6a7d5a1ddf73c831493f6574', '0xbb991caafa1cbbe9502fcd9ced6557c5b3784d42', '0x5f480Ca354304AaE88d7dd66cD4735C59d543af0', '0x1fc7bd85293f3982f40d52698df8d26be89360d6', '0xb2c0782ae4a299f7358758b2d15da9bf29e1dd99', '0xcdf7cfc9f7c129a0d7aec376bc205ab87fc878e1', '0x6c8dce6d842e0d9d109dc4c69f35cf8904fc4cbf', '0x50067C62078579CDc0c76Fc04fD28FB6fe3aFcd4', '0xbd4b50bbf385195c410a625681ff29d439ba61f3', '0x16ecc82b4e3e5ff5a4db8510ed191282a37639b0', '0xb5f8ed7a761200d80a9971268302ef3ff1aafbec', '0xabc1c404424bdf24c19a5cc5ef8f47781d18eb3e', '0xd76e916901c278dc445e4a808d87a4b34edaee25', '0xfdf4411669fc6e8951a6ae987307d7582fda7a05', '0x75aa01dc00f6aeefe14bd58a5b6cbb091c6dc57b', '0x3ebbebb8198c90c7460a8a60736481726b40297a', '0xa6ff73743b2fd8dedfacea4067a51ef86d249491', '0x4ba72f0f8dad13709ee28a992869e79d0fe47030', '0xbfde6246df72d3ca86419628cac46a9d2b60393c', '0xf35a3215e8098544f1c352ef57c3c745e224fb38', '0xcaef67f72114b4d2b4f43e7407455285b7de8de5']"
18,1472,EvolutionLand,eth,game,2020-05-11,"['0x09f8b2a267bd3b8ef53b085c4a3b683257713f37', '0x335e07B1465D1158B8300c675ee8903c65981266', '0x19E22a73A046f19eCB51a46ACe4cA7A4bB7c20c6', '0xa9203f3303126243c8d181006ab03b2474e3c084', '0x569BcB21CF3d83121F95Ad61f47D14DA192D4Cb7', '0xa4db07460c7473ef3aaf2c26da46b00a4d986d72', '0xeee4a506c662aa1b5581149fdc4e53862359d292', '0xe0a0489d93aeb831a04e8b631ebd9827a4db4a58', '0x7469966be391e8fe5e85ab972819560c7c3d6e4c', '0xcf50e8acbbe8215cc99139994683e3d2dbdab6cd', '0x74744f8f676feba599e6668a8513b97bf5306e77', '0xc65a6cb78994dc4c4e8397e5836150591224e588', '0x14A4123DA9aD21B2215DC0aB6984eC1E89842C6d', '0x8bf8df34297276fab4d6f4e785fd8b91773493e0', '0x9F284E1337A815fe77D2Ff4aE46544645B20c5ff', '0x1b21fdda5cfc02279667b9ff4408312ce7f01966', '0x550366ade903e488ffe70074526f9dae901cd397', '0x7f23e4a473db3d11d11b43d90b34f8a778753e34', '0x65558b5b48DCA1ED00dBd677c02fAbA8A6eb270F', '0xd16f8a3c363Fe05b5085937B5ba8A9E91D01A951', '0xf0e5af5380edf5295279dd0d5b930d3b9408867d', '0xE19866986976E84b2C2691169C9F9B1bAA433893', '0xD4B784Ae5c12153D11Ca55853d832D2a2D514a08', '0x0698392380d9EE265EE413c813B5E30b905c887e', '0x36f061bc3314793c5637fb79421294c061ead108', '0xf046b87750d0060c5c4d9c1eff824ee4fb051f92', '0xa35903b414c851fc48b593f4777394a6a63067e6', '0x1320994fA466E19F17b143995999C7275EAe50E1', '0xb0c85c099094e73ffc1df23c8309a8b14c64420a', '0xdc7cbfa9a172e0418107799ff25b2989a21743eb', '0x4be9b1237f2c8aa1709123924e3c2eda97e30a4e', '0x2995bbb4a6116e4df8a171443bfbb682065295d0', '0xf414144Bff74872Ef81027FC9DF7aB51c15D3b98', '0xf4f5da5d5141f73998bb9c2ef548bf47104e9d8f', '0xa70abeaca1d6bba0f511758a0d66b7f59fd3f166', '0x2f67ee58945a3d13801e6f016aa84abdce6d72a7', '0xae5b5aa6063a2208063f903e6c566b5781a3d9c4', '0xa99289f6742c3F4da809c51DfC6600B12849B20B', '0xa665271c365f9d9a149866574a5b047dd9e3d31b', '0x4ab8567d92eb454c3f9548a0851e10ea7550659d', '0x4DD50324697885Ce32B4a7E4e563ef2483dD0E83', '0xbdD20d63fF83F5CE8359eE9C7842B4A621f601C2', '0xf5e775bbdca4388269676ebe4166b1462352a02b', '0x4710573b853fdd3561cb4f60ec9394f0155d5105', '0x2f3ae1484f812df67b7feb2a7d53b2ee43aaddcd', '0xf45E406067798d2DF7913704EdCC2ac8D07F3d9E', '0xba78d7b00eb3da78b34fa9b57a86c7fb8c7e77fc', '0xfe51ee435667ab8730cdc11d05b0cac237a4d521', '0x171594FA19aA9B8Caa3b02F04558F6c6198ac9fD', '0x31a37120d1e4ee1cdad773d22dab67e968ba3c7b', '0x649fDF6ee483a96E020B889571e93700fbD82D88', '0x6171ca93339486d57859b80f56a725f44ab6a9cf', '0x3d5b127eb5295ee3ae376d5c5870ade3226ca993', '0xEfAA3aE3d01886a0268EB74F0d63AA031c39Dc3b', '0xb5e00e37ded86ec82992dd1c842d5e23aeee2329', '0xd25ba3ee5f67b6b61620406646e709720015550B', '0x145d71f0ed719f350dd571baa04e525fdf91ca95', '0x4394271f0fa7b20b4a2378269b1ef99ddd4ed543', '0x8469A695D70033EcD170c82BE1253842162AA77e', '0xbbdd374a1d106b5cc53a4b3954ae99b9502b4db6', '0xc28d31eacec212e2f0606f718bfe936a29b98d1c', '0x0336a843603f94451b2a61d3b6b8dc5dc64b79f3', '0x1349D7f2Cf992c2533B78E92220b61Cc988260cF', '0x358dBA28848cca268BA8a76B65E5b3eF9Ef92238', '0xf023a9f328f34741110433c7d4c38bc3972c4e53', '0xfc5824ffe69524b585740b65969bc87f982a4b87', '0x64edf5f3fc522c7e7b46b553f4b8b98149888b5b', '0xbe0b85ab71af79d0190ef53a70334a83be51874d', '0x1fc9697e9992A54d6e9B443C4Fc1Bb4994f29d03', '0x77c17ea6d547f6e8506730e2ce8b5b047b10a326', '0xab5e712d3f90d68b2356b613a7af6012bbd301ca', '0xa2e729a64b32ca79f46de3d8cc03fa9724d623f7', '0x6B0940772516B69088904564A56d09CFe6Bb3D85', '0xe0cb8d4de94a13c707e6c5d8370fafec653d1b67', '0xd38c8a78f4a554bcba3bd829310e451a23f2e5ee', '0x9469d013805bffb7d3debe5e7839237e535ec483', '0x7C87565B305726C4d2f6483DfD68A7FAd0eb5170', '0x5520ec6A7E33EA5D4b6bEF89ce6E637D62d301a6', '0xf44c58e703070d4ce7b2440533f29f62713ee071', '0x0e173cca6591f00bcb81345d21bc7a218be6256b']"
19,10730,ZED,eth,game,2020-05-11,"['0xff488fd296c38a24cccc60b43dd7254810dab64e', '0xd4bd54212f3b95CB145d9cf76995502EF3E5A0f2', '0xbbf51be40c51f7d4025ad980a80303d5247d2509', '0xA8f6221bA9aE477A4C2043d885859455C6DA907C', '0x9ccbae575b54dc4c80629fd5b71d03cef0278902', '0x157a268DC31bb12056A5b760240C6Fef004ec522', '0x250De0a3caD8d2cd1C0C19896e8a8b83b1B98020']"
